Recieve Wallet,TGE (20%),Vesting,Total (HE)
0xDd3398274D7530624D52a932537ecF40aF620683,"60,000","240,000","300,000"
0x8BF99D25C3cC0Bb8ebB13395e323A3Bf78BC2d48,"200,000","800,000","1,000,000"
0xc075BA2F4D65fe520402C12e92bb36ae742eC043,"200,000","800,000","1,000,000"
0x803fD38F0Bcb6f4bffcE7D81D84208fd28822F2c,"200,000","800,000","1,000,000"
,"60,000","240,000","300,000"
0xE8aDC97E720D3395992EFbFe15E4B42266fC2a89,"60,000","240,000","300,000"
0x617F8D8F6C5E05C50e1aA3B0D221e0E32C2c12E1,"20,000","80,000","100,000"
0x2784Aef5B1D396F876e14369a577237d3491E4fB,"20,000","80,000","100,000"
0xCF280dF3da6405EabF27E1d85e2c03d3B9047309,"100,000","400,000","500,000"
0x9c80810A659b82ffc4bEf410B688202A2938Db9C,"40,000","160,000","200,000"
0xbE5F55c1d4DF67c26021C4f520E3d381530508f3,"100,000","400,000","500,000"
0x30f5574a4C199372e8393F5f4F36c939757Da878,"200,000","800,000","1,000,000"
0xd2275771391CaE5AFBc05b4160889C4c89Af4d12,"200,000","800,000","1,000,000"
0x1B78de0532be7D4f2599Bb11990A2d563093Ee9b,"20,000","80,000","100,000"
0x55cB1646E1ae9f92a9a6e8696DE05f1D164018f2,"40,000","160,000","200,000"
0x69fd3e6AECa87797C2B6727651fA3Ec572EFC1D3,"160,000","640,000","800,000"
0x8B29fC601150c37F27784095EBa11E08C7240E96,"20,000","80,000","100,000"
0x7fD4b72d3Bf681C2e80D6076D7997B21DEf45130,"100,000","400,000","500,000"
0xAaD88154D6b5338be746e53021bB8BF75F783a78,"300,000","1,200,000","1,500,000"
0x51E027a767c07BF1570092c8643490fe0b6E27A2,"20,000","80,000","100,000"
0x0AcEb516F5eE664a25ff49aB74d7Fc950cd39ba6,"26,000","104,000","130,000"
0xE54fC4A3f9fd8068b9cdF3331f4aD4Fa842c7674,"400,000","1,600,000","2,000,000"
0xc0B8b7fB5e4A77044D647a2bfF871eF236f0916e,"200,000","800,000","1,000,000"
0x6ec1A58f644CEF420cEe3168c93aaF9f6666Ae5d,"20,000","80,000","100,000"
0x710f60f9E449aAE073D6B710714dDC00eE876Df3,"600,000","2,400,000","3,000,000"
0xa5d06D8417323eECf8c14e83E81205836A07470D,"400,000","1,600,000","2,000,000"
0x82Fd2F76B91B0b84f486d64eabc79170D36B5800,"1,000,000","4,000,000","5,000,000"
0x7B24dDCF028539941EeeaF747F9B38f37016a715,"40,000","160,000","200,000"
0xD5Ae8c8675818b09b9e0544A92316Baf5093F1cD,"20,000","80,000","100,000"
0xBc5f25bd319fa1655A61225838a07B57B0c0bf01,"1,200,000","4,800,000","6,000,000"
0xbbc826890dD80Bc3c6530DEA5719866f4423654b,"8,000","32,000","40,000"
0x0c0f593Fb46f12104Ed33eD478d0DF10826f398A,"10,000","40,000","50,000"
0x2aa42f9b0B3ddc3404FB6336A31C65CE7675c939,"4,000","16,000","20,000"
0x80aCA5A7b867749bE473C6210F6D8E01ce0C502B,"112,000","448,000","560,000"
